TYPE,RUNTIME,INFO,DECREASE RATE
New Proton,0.61676204
New Proton,1.0498048
New Proton,1.4823382
New Proton,1.8992242
New Proton,2.3819149
New Proton,2.7650096
New Proton,3.1792853
New Proton,3.5457249
Protons Fused,4.977869
Scored,4.977869,400,101.0
Proton-Deuterium Fused,5.8772497
Scored,5.8772497,500,102.25
New Proton,6.926454
Protons Fused,7.8092327
Scored,7.8092327,400,103.25
Proton-Deuterium Fused,9.791012
Scored,9.791012,500,104.5
New Proton,11.723019
New Proton,12.239184
New Proton,12.622267
New Proton,13.121856
New Proton,13.554875
New Proton,14.071151
New Proton,14.43756
New Proton,14.887236
Protons Fused,16.019707
Scored,16.019707,400,105.5
Proton-Deuterium Fused,18.367966
Scored,18.367966,500,106.75
Protons Fused,19.667027
Scored,19.667027,400,107.75
Proton-Deuterium Fused,20.78288
Scored,20.78288,500,109.0
New Proton,21.449055
New Proton,21.79882
New Proton,22.231867
New Proton,22.664835
Protons Fused,23.647453
Scored,23.647453,400,110.0
Proton-Deuterium Fused,25.496084
Scored,25.496084,500,111.25
New Proton,26.561977
New Proton,27.12821
New Proton,27.544592
New Proton,27.927649
New Proton,28.377365
Protons Fused,29.842896
Scored,29.842896,400,112.25
Protons Fused,31.192476
Scored,31.192476,400,113.25
New Proton,31.608494
Proton-Deuterium Fused,32.491547
Scored,32.491547,500,114.5
New Proton,33.24153
Proton-Deuterium Fused,33.991703
Scored,33.991703,500,115.75
New peak health,33.991703,5052
Helions Fused,35.357582
Scored,35.357582,750,167.625
New peak health,35.357582,5639
Protons Fused,37.041634
Scored,37.041634,400,168.625
New peak health,37.041634,5837
New Proton,38.424652
Proton-Deuterium Fused,39.157684
Scored,39.157684,500,169.875
New peak health,39.157684,5983
New Proton,39.741695
New Proton,40.307697
Protons Fused,41.05774
Scored,41.05774,400,170.875
New Proton,42.657772
Proton-Deuterium Fused,43.474934
Scored,43.474934,500,172.125
New peak health,43.474934,6065
New Proton,44.374863
New Proton,45.291866
New Proton,46.34189
Protons Fused,49.207935
Scored,49.207935,400,173.125
Proton-Deuterium Fused,50.760986
Scored,50.760986,500,174.375
New Proton,51.626957
New Proton,52.093967
Protons Fused,53.077023
Scored,53.077023,400,175.375
New Proton,53.44403
